key,context,en,fr,it,de,es,ru,zh,ja,ko
wavestats.cleared,Intermission panel heading; {0}=wave number,Wave {0} Cleared,Vague {0} terminée,Ondata {0} completata,Welle {0} geschafft,Oleada {0} superada,Волна {0} пройдена,第 {0} 波已通过,ウェーブ {0} クリア,웨이브 {0} 클리어
wavestats.gold_bonus,Hold-the-line multiplier line; {0}=multiplier,x{0} Gold Bonus,Bonus d'or x{0},Bonus oro x{0},x{0} Gold-Bonus,Bonificación de oro x{0},Бонус золота x{0},x{0} 金币加成,ゴールドボーナス x{0},골드 보너스 x{0}
wavestats.goblins_slain,Scoreboard line; {0}=count,Goblins Slain: {0},Gobelins tués : {0},Goblin uccisi: {0},Getötete Goblins: {0},Goblins abatidos: {0},Убито гоблинов: {0},击杀哥布林：{0},ゴブリン討伐数：{0},처치한 고블린: {0}
wavestats.gold_earned,Scoreboard line; {0}=amount,Gold Earned: {0},Or gagné : {0},Oro guadagnato: {0},Verdientes Gold: {0},Oro ganado: {0},Получено золота: {0},获得金币：{0},獲得ゴールド：{0},획득한 골드: {0}
wavestats.total_gold,Scoreboard line; {0}=amount,Total Gold: {0},Or total : {0},Oro totale: {0},Gold gesamt: {0},Oro total: {0},Всего золота: {0},金币总计：{0},合計ゴールド：{0},총 골드: {0}
death.player_title,Death screen title when the hero dies,You Died,Vous êtes mort,Sei morto,Du bist gestorben,Has muerto,Вы погибли,你死了,死亡,사망했습니다
death.gate_title,Death screen title when the gate falls,The Gate Has Fallen,La porte est tombée,Il cancello è caduto,Das Tor ist gefallen,La puerta ha caído,Врата пали,城门已陷落,門は陥落した,성문이 함락되었습니다
death.player_reason,Death screen subtitle for hero death,The hero has fallen. All hope is lost.,Le héros est tombé. Tout espoir est perdu.,L'eroe è caduto. Ogni speranza è perduta.,Der Held ist gefallen. Alle Hoffnung ist verloren.,El héroe ha caído. Toda esperanza está perdida.,Герой пал. Надежды больше нет.,英雄倒下了。希望已然破灭。,英雄は倒れた。すべての希望は失われた。,영웅이 쓰러졌습니다. 모든 희망이 사라졌습니다.
death.gate_reason,Death screen subtitle for gate destruction,The gate was destroyed. We were overrun.,La porte a été détruite. Nous avons été submergés.,Il cancello è stato distrutto. Siamo stati travolti.,Das Tor wurde zerstört. Wir wurden überrannt.,La puerta fue destruida. Nos arrollaron.,Врата разрушены. Нас смяли.,城门被摧毁。我们被击溃了。,門は破壊され、我々は蹂躙された。,성문이 파괴되어 우리는 무너졌습니다.
death.restart_wave,Restart button; {0}=wave number,Restart Wave {0},Reprendre à la vague {0},Riprendi dall'ondata {0},Welle {0} neu starten,Reiniciar en la oleada {0},Начать с волны {0},从第 {0} 波重新开始,ウェーブ {0} から再開,웨이브 {0}부터 다시 시작
death.reincarnate,Reincarnate button; {0}=points gained,Reincarnate (+{0} pts),Se réincarner (+{0} pts),Reincarnati (+{0} pt),Reinkarnieren (+{0} Pkt.),Reencarnar (+{0} pts),Реинкарнация (+{0} очк.),转生（+{0} 点）,転生（+{0} pt）,환생 (+{0} 포인트)
death.begin_next_life,Class-select confirm button after reincarnating,Begin Next Life,Commencer une nouvelle vie,Inizia la prossima vita,Nächstes Leben beginnen,Comenzar la siguiente vida,Начать новую жизнь,开始新的人生,次の生を始める,다음 생 시작
skill.level_progress,Node level readout; {0}=level {1}=max,{0}/{1},{0}/{1},{0}/{1},{0}/{1},{0}/{1},{0}/{1},{0}/{1},{0}/{1},{0}/{1}
skill.cost,Node cost line; {0}=amount {1}=currency word,{0} {1},{0} {1},{0} {1},{0} {1},{0} {1},{0} {1},{0} {1},{0} {1},{0} {1}
skill.gold_readout,Gold total on the skill tree screen; {0}=amount,Gold: {0},Or : {0},Oro: {0},Gold: {0},Oro: {0},Золото: {0},金币：{0},ゴールド：{0},골드: {0}
rebind.press_any_key,Shown on a rebind slot awaiting input,Press any key...,Appuyez sur une touche...,Premi un tasto...,Beliebige Taste drücken...,Pulsa cualquier tecla...,Нажмите любую клавишу...,请按任意键...,いずれかのキーを押してください...,아무 키나 누르세요...
screenshot.saved_to,Photo mode toast; {0}=file path,Saved to {0},Enregistré dans {0},Salvato in {0},Gespeichert unter {0},Guardado en {0},Сохранено в {0},已保存到 {0},{0} に保存しました,{0}에 저장됨
stat.suffix.seconds,Unit suffix for seconds in stat tooltips,s,s,s,s,s,с,秒,秒,초
hint.attack,Control hint label,Attack,Attaquer,Attacca,Angreifen,Atacar,Атака,攻击,攻撃,공격
hint.aim,Control hint label,Aim,Viser,Mira,Zielen,Apuntar,Прицел,瞄准,エイム,조준
hint.sprint,Control hint label,Sprint,Sprinter,Scatta,Sprinten,Esprintar,Бег,冲刺,スプリント,전력 질주
hint.jump,Control hint label,Jump,Sauter,Salta,Springen,Saltar,Прыжок,跳跃,ジャンプ,점프
hint.dismount,Control hint label while mounted,Dismount,Descendre,Smonta,Absteigen,Desmontar,Спешиться,下马,降りる,내리기
hint.pause,Control hint label,Pause,Pause,Pausa,Pause,Pausa,Пауза,暂停,ポーズ,일시 정지
hint.back,Control hint label,Back,Retour,Indietro,Zurück,Atrás,Назад,返回,戻る,뒤로
hint.tree.pan,Skill tree hint label,Pan,Déplacer,Sposta,Verschieben,Desplazar,Обзор,平移,移動,이동
hint.tree.zoom,Skill tree hint label,Zoom,Zoomer,Zoom,Zoomen,Zoom,Масштаб,缩放,ズーム,확대/축소
hint.tree.buy,Skill tree hint label,Buy Skill,Acheter,Acquista,Kaufen,Comprar,Купить,购买技能,スキル購入,스킬 구매
hint.tree.tabs,Skill tree hint label,Switch Tab,Changer d'onglet,Cambia scheda,Tab wechseln,Cambiar pestaña,Сменить вкладку,切换标签,タブ切替,탭 전환
class.berserker.desc,(generated),"Fury made flesh. Trades finesse for raw power — a heavy axe to throw, and rage that turns pain into strength.","La furie incarnée. Sacrifie la finesse au profit de la puissance brute — une hache lourde à lancer, et une rage qui change la douleur en force.",La furia fatta carne. Sacrifica la finezza per la pura potenza — un'ascia pesante da lanciare e una rabbia che trasforma il dolore in forza.,"Zorn in Fleisch und Blut. Tauscht Finesse gegen rohe Gewalt — eine schwere Wurfaxt und Wut, die Schmerz in Stärke verwandelt.",La furia hecha carne. Cambia la delicadeza por poder bruto: un hacha pesada para lanzar y una ira que convierte el dolor en fuerza.,"Ярость во плоти. Меняет изящество на грубую силу — тяжёлый метательный топор и ярость, обращающая боль в силу.",狂怒的化身。舍弃技巧，换取蛮力——一把可投掷的重斧，以及化痛苦为力量的怒火。,怒りの化身。技巧を捨てて剛力を得る——投擲用の重斧と、痛みを力に変える怒り。,분노의 화신. 기교 대신 순수한 힘을 택한다 — 던질 수 있는 무거운 도끼와 고통을 힘으로 바꾸는 분노.
class.berserker.name,(generated),Berserker,Berserker,Berserker,Berserker,Berserker,Берсерк,狂战士,バーサーカー,광전사
class.mage.desc,(generated) HUMAN: retranslate — en only; blank cells fall back to SO English,"A robed elementalist. Wields a staff and a hand-wound wand, imbuing both with Fire, Lightning, or Ice.",,,,,,,,
class.mage.name,(generated) HUMAN: retranslate — en only; blank cells fall back to SO English,Mage,,,,,,,,
class.swordsman.desc,(generated) HUMAN: retranslate — en changed for the Ranger rename; other languages blanked (fall back to SO English) until retranslated,"A woodland marksman. Balanced speed and steel up close, with a longbow for picking off the horde at range.",,,,,,,,
class.swordsman.name,(generated),Ranger,Rôdeur,Ranger,Waldläufer,Guardabosques,Следопыт,游侠,レンジャー,레인저
classselect.title,Class-select screen headline,Begin Your Next Life,Commencer votre nouvelle vie,Inizia la tua prossima vita,Beginne dein nächstes Leben,Comienza tu siguiente vida,Начните новую жизнь,开始你的新人生,次の人生を始めよう,다음 생을 시작하세요
classselect.key_skills,Class-select screen section label above the Key Skills row,Key Skills,Compétences clés,Abilità chiave,Schlüsselfertigkeiten,Habilidades clave,Ключевые навыки,核心技能,主要スキル,핵심 스킬
classselect.spend_points,Class-select screen toggle button that reveals the Reincarnate tree,Spend Points,Dépenser des points,Spendi punti,Punkte ausgeben,Gastar puntos,Потратить очки,消费点数,ポイントを使う,포인트 사용
enemy.ancient_queen.name,(generated),Ancient Queen,Reine antique,Regina antica,Uralte Königin,Reina antigua,Древняя королева,远古女王,古代の女王,고대 여왕
enemy.ancient_warrior.name,(generated),Ancient Warrior,Guerrier antique,Guerriero antico,Uralter Krieger,Guerrero antiguo,Древний воин,远古战士,古代の戦士,고대 전사
enemy.barbarian_giant.name,(generated),Barbarian Giant,Géant barbare,Gigante barbaro,Barbarenriese,Gigante bárbaro,Великан-варвар,野蛮巨人,蛮族の巨人,야만 거인
enemy.big_ork.name,(generated),Big Ork,Grand Ork,Grande Orco,Großer Ork,Gran Orco,Большой орк,大兽人,ビッグオーク,대형 오크
enemy.bomber.name,(generated),Bomber,Bombardier,Bombardiere,Bomber,Bombardero,Бомбардир,投弹手,ボマー,폭탄병
enemy.dark_elf.name,(generated),Dark Elf,Elfe noir,Elfo oscuro,Dunkelelf,Elfo oscuro,Тёмный эльф,黑暗精灵,ダークエルフ,다크 엘프
enemy.dwarf.name,(generated),Dwarf,Nain,Nano,Zwerg,Enano,Гном,矮人,ドワーフ,드워프
enemy.evil_god.name,(generated),Evil God,Dieu maléfique,Dio malvagio,Böser Gott,Dios maligno,Злой бог,邪神,邪神,사악한 신
enemy.forest_guardian.name,(generated),Forest Guardian,Gardien de la forêt,Guardiano della foresta,Waldwächter,Guardián del bosque,Страж леса,森林守护者,森の守護者,숲의 수호자
enemy.forest_witch.name,(generated),Forest Witch,Sorcière de la forêt,Strega della foresta,Waldhexe,Bruja del bosque,Лесная ведьма,森林女巫,森の魔女,숲의 마녀
enemy.fort_golem.name,(generated),Fort Golem,Golem forteresse,Golem fortezza,Festungsgolem,Gólem fortaleza,Голем-крепость,堡垒魔像,フォートゴーレム,요새 골렘
enemy.goblin.name,(generated),Goblin,Gobelin,Goblin,Goblin,Goblin,Гоблин,哥布林,ゴブリン,고블린
enemy.goblin_brute.name,(generated),Goblin Brute,Brute gobeline,Bruto goblin,Goblin-Schläger,Bruto goblin,Гоблин-громила,哥布林蛮兵,ゴブリンブルート,고블린 브루트
enemy.knight.name,(generated),Knight,Chevalier,Cavaliere,Ritter,Caballero,Рыцарь,骑士,ナイト,기사
enemy.mechanical_golem.name,(generated),Mechanical Golem,Golem mécanique,Golem meccanico,Mechanischer Golem,Gólem mecánico,Механический голем,机械魔像,機械ゴーレム,기계 골렘
enemy.medusa.name,(generated),Medusa,Méduse,Medusa,Medusa,Medusa,Медуза,美杜莎,メデューサ,메두사
enemy.mutant_guy.name,(generated),Mutant Guy,Mutant,Mutante,Mutant,Mutante,Мутант,变异人,ミュータント,돌연변이
enemy.mystic.name,(generated),Mystic,Mystique,Mistico,Mystiker,Místico,Мистик,秘法师,ミスティック,신비술사
enemy.pig_butcher.name,(generated),Pig Butcher,Cochon boucher,Maiale macellaio,Schweinemetzger,Cerdo carnicero,Свин-мясник,屠夫猪,ピッグブッチャー,돼지 백정
enemy.red_demon.name,(generated),Red Demon,Démon rouge,Demone rosso,Roter Dämon,Demonio rojo,Красный демон,红魔,レッドデーモン,붉은 악마
enemy.slayer.name,(generated),Slayer,Pourfendeur,Sterminatore,Schlächter,Exterminador,Истребитель,屠戮者,スレイヤー,슬레이어
enemy.spirit_demon.name,(generated),Spirit Demon,Démon spirituel,Demone spirituale,Geisterdämon,Demonio espiritual,Демон-дух,幽魂恶魔,スピリットデーモン,정령 악마
enemy.storm_witch.name,(generated),Storm Witch,Sorcière des tempêtes,Strega delle tempeste,Sturmhexe,Bruja de la tormenta,Ведьма бури,风暴女巫,ストームウィッチ,폭풍 마녀
enemy.troll.name,(generated),Troll,Troll,Troll,Troll,Trol,Тролль,巨魔,トロール,트롤
skill.berserker.alldmg.desc,(generated),Increase all damage,Augmente tous les dégâts,Aumenta tutti i danni,Erhöht den gesamten Schaden,Aumenta todo el daño,Увеличивает весь урон,提升所有伤害,全ダメージを増加,모든 피해량 증가
skill.berserker.alldmg.name,(generated),Raw Power,Puissance brute,Potenza pura,Rohe Gewalt,Poder bruto,Грубая сила,蛮力,剛力,순수한 힘
skill.berserker.alldmg.upgrade,(generated),Increase all damage further,Augmente encore tous les dégâts,Aumenta ulteriormente tutti i danni,Erhöht den gesamten Schaden weiter,Aumenta aún más todo el daño,Ещё сильнее увеличивает весь урон,进一步提升所有伤害,全ダメージをさらに増加,모든 피해량 추가 증가
skill.berserker.ampknock.desc,(generated),Charging your weapon also increases knockback,Charger l'arme augmente aussi le recul,Caricare l'arma aumenta anche la respinta,Das Aufladen der Waffe erhöht auch den Rückstoß,Cargar el arma también aumenta el empuje,Зарядка оружия также усиливает отбрасывание,蓄力武器时还会提升击退效果,武器のチャージでノックバックも増加,무기 충전 시 넉백도 증가
skill.berserker.ampknock.name,(generated),Amplified Knockback,Recul amplifié,Respinta amplificata,Verstärkter Rückstoß,Empuje amplificado,Усиленное отбрасывание,强化击退,ノックバック増幅,넉백 증폭
skill.berserker.ampknock.upgrade,(generated),Increase charge knockback further,Augmente encore le recul en charge,Aumenta ulteriormente la respinta caricata,Erhöht den Aufladungs-Rückstoß weiter,Aumenta aún más el empuje cargado,Ещё сильнее усиливает отбрасывание при зарядке,进一步提升蓄力击退,チャージ時のノックバックをさらに増加,충전 넉백 추가 증가
skill.berserker.axe_boomerang.desc,(generated),"Your axe returns to you after striking terrain, spending its pierce, or flying its full range — hitting enemies on the way back too","La hache revient après avoir frappé le terrain, épuisé sa perforation ou atteint sa portée maximale — et frappe aussi les ennemis au retour","L'ascia torna indietro dopo aver colpito il terreno, esaurito la perforazione o raggiunto la gittata massima — colpendo i nemici anche al ritorno","Die Axt kehrt zurück, nachdem sie Gelände getroffen, ihre Durchschläge verbraucht oder ihre volle Reichweite erreicht hat — und trifft auf dem Rückweg ebenfalls Gegner","El hacha regresa tras golpear el terreno, agotar su perforación o alcanzar su alcance máximo, golpeando también a los enemigos a la vuelta","Топор возвращается, ударившись о препятствие, исчерпав пробивание или пролетев всю дальность — и поражает врагов на обратном пути",斧头在击中地形、耗尽穿透或飞至最大距离后返回——回程同样会击中敌人,斧は地形に当たるか、貫通を使い切るか、最大射程まで飛ぶと手元に戻り、戻る途中でも敵にヒットする,"도끼가 지형에 부딪히거나 관통을 소진하거나 최대 사거리까지 날아가면 돌아오며, 돌아오는 길에도 적을 타격한다"
skill.berserker.axe_boomerang.name,(generated),Boomerang,Boomerang,Boomerang,Bumerang,Bumerán,Бумеранг,回旋镖,ブーメラン,부메랑
skill.berserker.axe_charge.desc,(generated),More throw damage per second wound up,Plus de dégâts de lancer par seconde d'armement,Più danni da lancio per ogni secondo di carica,Mehr Wurfschaden pro Sekunde Aufladung,Más daño de lanzamiento por segundo de carga,Больше урона от броска за каждую секунду замаха,蓄力每多一秒，投掷伤害越高,溜めた秒数に応じて投擲ダメージ増加,감아올린 시간 1초당 투척 피해량 증가
skill.berserker.axe_charge.name,(generated),Wound Up,À bloc,Carica a molla,Aufgezogen,A toda cuerda,На взводе,蓄势待发,ワインドアップ,와인드업
skill.berserker.axe_charge.upgrade,(generated),+1 max charge level,+1 niveau de charge max,+1 livello di carica max,+1 maximale Aufladestufe,+1 nivel de carga máx.,+1 к макс. уровню заряда,最大蓄力等级+1,最大チャージレベル+1,최대 충전 레벨 +1
skill.berserker.axe_dmg.desc,(generated),Increase throwing axe damage,Augmente les dégâts de la hache de lancer,Aumenta i danni dell'ascia da lancio,Erhöht den Schaden der Wurfaxt,Aumenta el daño del hacha arrojadiza,Увеличивает урон метательного топора,提升飞斧伤害,投げ斧のダメージを増加,투척 도끼 피해량 증가
skill.berserker.axe_dmg.name,(generated),Heavier Head,Tête plus lourde,Testa più pesante,Schwererer Kopf,Cabeza más pesada,Утяжелённый обух,加重斧头,ヘビーヘッド,무거운 도끼머리
skill.berserker.axe_dmg.upgrade,(generated),Increase throwing axe damage further,Augmente encore les dégâts de la hache de lancer,Aumenta ulteriormente i danni dell'ascia da lancio,Erhöht den Schaden der Wurfaxt weiter,Aumenta aún más el daño del hacha arrojadiza,Ещё сильнее увеличивает урон метательного топора,进一步提升飞斧伤害,投げ斧のダメージをさらに増加,투척 도끼 피해량 추가 증가
skill.berserker.axe_knock.desc,(generated),Increase throw knockback,Augmente le recul du lancer,Aumenta la respinta del lancio,Erhöht den Wurf-Rückstoß,Aumenta el empuje del lanzamiento,Усиливает отбрасывание от броска,提升投掷击退,投擲のノックバックを増加,투척 넉백 증가
skill.berserker.axe_knock.name,(generated),Crushing Throw,Lancer écrasant,Lancio devastante,Vernichtender Wurf,Lanzamiento aplastante,Сокрушительный бросок,粉碎投掷,クラッシュスロー,분쇄 투척
skill.berserker.axe_knock.upgrade,(generated),Increase throw knockback further,Augmente encore le recul du lancer,Aumenta ulteriormente la respinta del lancio,Erhöht den Wurf-Rückstoß weiter,Aumenta aún más el empuje del lanzamiento,Ещё сильнее усиливает отбрасывание от броска,进一步提升投掷击退,投擲のノックバックをさらに増加,투척 넉백 추가 증가
skill.berserker.axe_pierce.desc,(generated),Throws pierce through more enemies,Les lancers transpercent plus d'ennemis,I lanci perforano più nemici,Würfe durchbohren mehr Gegner,Los lanzamientos atraviesan a más enemigos,Броски пробивают больше врагов,投掷可穿透更多敌人,投擲がより多くの敵を貫通,투척이 더 많은 적을 관통
skill.berserker.axe_pierce.name,(generated),Skull Splitter,Fend-crâne,Spaccateschi,Schädelspalter,Rompecráneos,Черепокол,碎颅者,スカルスプリッター,두개골 분쇄
skill.berserker.axe_pierce.upgrade,(generated),Pierce through one more enemy,Transperce un ennemi de plus,Perfora un nemico in più,Durchbohrt einen weiteren Gegner,Atraviesa a un enemigo más,Пробивает ещё одного врага,额外穿透一名敌人,貫通する敵が1体増加,적 1명 추가 관통
skill.berserker.axe_unlock.desc,(generated),"Unlock the throwing axe: hold aim to wind up, attack to hurl it through enemies in a line","Débloque la hache de lancer : maintenir la visée pour armer, attaquer pour la projeter à travers les ennemis en ligne","Sblocca l'ascia da lancio: tieni premuta la mira per caricare, attacca per scagliarla attraverso i nemici in linea","Schaltet die Wurfaxt frei: Zielen halten zum Ausholen, Angreifen, um sie in gerader Linie durch Gegner zu schleudern",Desbloquea el hacha arrojadiza: mantén apuntado para cargar y ataca para lanzarla en línea a través de los enemigos,"Открывает метательный топор: удерживайте прицеливание для замаха, атакуйте, чтобы метнуть его сквозь врагов по прямой",解锁飞斧：按住瞄准蓄力，按攻击将其掷出，沿直线穿透敌人,投げ斧を解放：エイム長押しで振りかぶり、攻撃で敵を一直線に貫くように投げつける,투척 도끼 해제: 조준을 길게 눌러 힘을 모으고 공격 버튼으로 적을 일직선으로 관통하도록 던진다
skill.berserker.axe_unlock.name,(generated),Throwing Axe,Hache de lancer,Ascia da lancio,Wurfaxt,Hacha arrojadiza,Метательный топор,飞斧,スローイングアックス,투척 도끼
skill.berserker.axe_width.desc,(generated),Widen the throw's path,Élargit la trajectoire du lancer,Allarga la traiettoria del lancio,Verbreitert die Flugbahn des Wurfs,Amplía la trayectoria del lanzamiento,Расширяет траекторию броска,拓宽投掷路径,投擲の軌道を拡大,투척 경로 확장
skill.berserker.axe_width.name,(generated),Wide Arc,Arc large,Arco ampio,Weiter Bogen,Arco amplio,Широкая дуга,宽弧,ワイドアーク,넓은 궤적
skill.berserker.axe_width.upgrade,(generated),Widen the throw's path further,Élargit encore la trajectoire du lancer,Allarga ulteriormente la traiettoria del lancio,Verbreitert die Flugbahn des Wurfs weiter,Amplía aún más la trayectoria del lanzamiento,Ещё сильнее расширяет траекторию броска,进一步拓宽投掷路径,投擲の軌道をさらに拡大,투척 경로 추가 확장
skill.berserker.butter.desc,(generated),Axe cuts through more enemies,La hache tranche plus d'ennemis,L'ascia taglia più nemici,Die Axt schneidet durch mehr Gegner,El hacha corta a través de más enemigos,Топор рассекает больше врагов,斧头可斩击更多敌人,斧がより多くの敵を切り裂く,도끼가 더 많은 적을 벤다
skill.berserker.butter.name,(generated),Like Butter,Comme dans du beurre,Come nel burro,Wie durch Butter,Como mantequilla,Как по маслу,如切黄油,バターのように,버터처럼
skill.berserker.butter.upgrade,(generated),Cut through one more enemy,Tranche un ennemi de plus,Taglia un nemico in più,Schneidet durch einen weiteren Gegner,Corta a un enemigo más,Рассекает ещё одного врага,额外斩击一名敌人,切り裂く敵が1体増加,적 1명 추가 베기
skill.berserker.charge_unlock.desc,(generated),Increase axe damage for every second held,Augmente les dégâts de la hache pour chaque seconde de maintien,Aumenta i danni dell'ascia per ogni secondo di carica,Erhöht den Axtschaden für jede gehaltene Sekunde,Aumenta el daño del hacha por cada segundo mantenido,Увеличивает урон топора за каждую секунду удержания,每按住一秒，斧头伤害提升,長押し1秒ごとに斧のダメージ増加,유지 1초당 도끼 피해량 증가
skill.berserker.charge_unlock.name,(generated),Heavy Strike,Frappe lourde,Colpo pesante,Schwerer Schlag,Golpe pesado,Тяжёлый удар,重击,ヘビーストライク,강타
skill.berserker.charge_unlock.upgrade,(generated),+1 max charge level,+1 niveau de charge max,+1 livello di carica max,+1 maximale Aufladestufe,+1 nivel de carga máx.,+1 к макс. уровню заряда,最大蓄力等级+1,最大チャージレベル+1,최대 충전 레벨 +1
skill.berserker.conduit.desc,(generated),Reduce lightning damage to yourself and chance to chain lightning every hit,Réduit les dégâts de foudre subis et donne une chance de foudre en chaîne à chaque coup,Riduce i danni da fulmine subiti e dà una probabilità di fulmine a catena a ogni colpo,Reduziert erlittenen Blitzschaden und gewährt bei jedem Treffer eine Chance auf Kettenblitz,Reduce el daño de rayo recibido y otorga probabilidad de rayo en cadena en cada golpe,Снижает получаемый урон от молний и даёт шанс цепной молнии при каждом ударе,减少自身受到的闪电伤害，每次攻击有几率触发连锁闪电,自身が受ける雷ダメージを軽減し、攻撃ごとに確率でチェインライトニングが発動,자신이 받는 번개 피해를 줄이고 매 타격마다 연쇄 번개 확률 부여
skill.berserker.conduit.name,(generated),Conduit,Conducteur,Conduttore,Leiter,Conducto,Проводник,导体,コンジット,전도체
skill.berserker.conduit.upgrade,(generated),Improve lightning resistance and chain chance,Améliore la résistance à la foudre et la chance d'enchaînement,Migliora la resistenza ai fulmini e la probabilità di concatenazione,Verbessert Blitzresistenz und Kettenchance,Mejora la resistencia al rayo y la probabilidad de encadenamiento,Повышает сопротивление молнии и шанс цепной реакции,提升闪电抗性和连锁几率,雷耐性と連鎖確率を強化,번개 저항과 연쇄 확률 향상
skill.berserker.counter.desc,(generated),Increase parry damage,Augmente les dégâts de parade,Aumenta i danni da parata,Erhöht den Paradeschaden,Aumenta el daño de parada,Увеличивает урон парирования,提升招架伤害,パリィダメージを増加,패링 피해 증가
skill.berserker.counter.name,(generated),Counterstrike,Contre-attaque,Contrattacco,Konterschlag,Contraataque,Контрудар,反击,カウンターストライク,반격
skill.berserker.counter.upgrade,(generated),Increase parry damage further,Augmente encore les dégâts de parade,Aumenta ulteriormente i danni da parata,Erhöht den Paradeschaden weiter,Aumenta aún más el daño de parada,Ещё больше увеличивает урон парирования,进一步提升招架伤害,パリィダメージをさらに増加,패링 피해 추가 증가
skill.berserker.crit_1.desc,(generated),Increase critical strike chance,Augmente les chances de coup critique,Aumenta la probabilità di colpo critico,Erhöht die kritische Trefferchance,Aumenta la probabilidad de golpe crítico,Увеличивает шанс критического удара,提升暴击几率,クリティカル率を増加,치명타 확률 증가
skill.berserker.crit_1.name,(generated),Keen Eye,Œil de lynx,Occhio acuto,Scharfes Auge,Ojo avizor,Зоркий глаз,锐眼,鋭き眼,예리한 눈
skill.berserker.critdmg.desc,(generated),Increase critical strike damage,Augmente les dégâts des coups critiques,Aumenta i danni dei colpi critici,Erhöht den kritischen Schaden,Aumenta el daño de golpe crítico,Увеличивает урон критических ударов,提升暴击伤害,クリティカルダメージを増加,치명타 피해 증가
skill.berserker.critdmg.name,(generated),Critical Damage,Dégâts critiques,Danno critico,Kritischer Schaden,Daño crítico,Критический урон,暴击伤害,クリティカルダメージ,치명타 피해
